333900
333900
EOL2.97	2.63	2.86	9.00	0.05	0.00	
EOL3.08	2.47	2.95	9.00	0.03	0.01	
EOL3.05	2.56	2.95	9.00	0.03	0.00	
EOL3.08	2.82	2.95	9.00	0.05	0.02	
EOL3.08	2.82	2.95	9.00	0.05	0.02	
EOL9.00	0.35	3.56	9.00	0.05	0.02	
EOL3.08	2.73	2.78	9.00	0.03	0.01	
EOL3.08	2.79	2.95	9.00	0.05	0.01	
EOL3.05	2.63	3.04	9.00	0.05	0.00	
EOL3.08	2.66	2.95	9.00	0.05	0.01	
EOL3.05	2.72	2.94	9.00	0.05	0.00	
